date,state,city,race,gender,type,url
3/12/2020,New York,New York City,asian,male,physical (no harm),https://www.adl.org/blog/reports-of-anti-asian-assaults-harassment-and-hate-crimes-rise-as-coronavirus-spreads
3/12/2020,New York,Queens,asian,male,verbal abuse,https://nypost.com/2020/03/14/cops-bust-suspect-in-coronavirus-related-hate-crime-on-asian-man/
3/12/2020,New York,Queens,asian,male,verbal abuse,https://nypost.com/2020/03/14/cops-bust-suspect-in-coronavirus-related-hate-crime-on-asian-man/
3/12/2020,New Mexico,Albuquerque,chinese,male,vandalism,https://www.kob.com/albuquerque-news/chinese-student-at-unm-subject-of-racist-prank/5673113/
3/12/2020,New Mexico,Albuquerque,chinese,female,verbal abuse,https://www.kob.com/albuquerque-news/chinese-student-at-unm-subject-of-racist-prank/5673113/
3/12/2020,Wisconsin,Milwaukee,chinese,male,verbal abuse,https://www.facebook.com/komeng.yang.3/posts/2814180052010408?hc_location=ufi
3/11/2020,Washington,Seattle,korean,male,verbal abuse,https://crosscut.com/2020/03/coronavirus-fears-pacific-nw-lead-rise-anti-asian-racism
3/11/2020,District of Columbia,,cambodian,male,verbal abuse,https://nextshark.com/7-eleven-washington-dc-racism/
3/10/2020,Virginia,Charlottesville,chinese,,physical (no harm),https://www.facebook.com/photo/?fbid=2887692394640948&set=pcb.2887692651307589
3/10/2020,Virginia,Charlottesville,chinese,,physical (no harm),https://www.facebook.com/photo/?fbid=2887692394640948&set=pcb.2887692651307589
3/10/2020,New York ,New York City,asian,male,physical (no harm),https://newyork.cbslocal.com/2020/03/12/coronavirus-anti-asian-hate-crime/
3/10/2020,New York,New York City,korean,female,physical (no harm),https://abc7ny.com/wheres-your-(expletive)-mask-asian-woman-attacked-in-nyc/6003396/
3/10/2020,New York,New York City,korean,male,verbal abuse,https://www.newyorker.com/culture/culture-desk/confronting-anti-asian-discrimination-during-the-coronavirus-crisis
3/9/2020,California,San Francisco,chinese,female,verbal abuse,https://www.nytimes.com/2020/03/23/us/chinese-coronavirus-racist-attacks.html
3/9/2020,California,Fresno,asian,male,vandalism,https://abc30.com/fresno-mans-car-vandalized-with-racial-slurs-as-coronavirus-outbreak-continues-/5998945/
3/7/2020,New York,Syracuse,chinese,,vandalism,http://dailyorange.com/2020/03/coronavirus-information-flyer-vandalized-anti-chinese-language/
3/7/2020,New York ,New York City,asian,male,physical (no harm),https://newyork.cbslocal.com/2020/03/12/coronavirus-anti-asian-hate-crime/
3/6/2020,Pennsylvania,Cumberland County,asian,,verbal abuse,https://www.adl.org/blog/reports-of-anti-asian-assaults-harassment-and-hate-crimes-rise-as-coronavirus-spreads
3/6/2020,California,Garden City,vietnamese,,verbal abuse,https://www.ocregister.com/2020/03/12/video-garden-grove-students-scream-coronavirus-mocks-asian-teens/
3/4/2020,New York,Brooklyn,asian,male,physical (no harm),https://abc7ny.com/coronavirus-fear-video-shows-suspected-hate-crime-on-subway/5989856/
3/1/2020,New York,New York City,asian,male,physical (harm),https://nextshark.com/man-fights-back-after-getting-water-thrown-at-him-because-he-has-coronavirus-in-nyc/
3/1/2020,California,Los Angeles,chinese,female,verbal abuse,https://www.latimes.com/california/story/2020-03-23/coronavirus-devastation-immigrants
3/1/2020,California,Orange County,korean,male,verbal abuse,https://www.latimes.com/california/story/2020-03-23/coronavirus-devastation-immigrants
2/27/2020,Pennsylvania,Philadelphi,asian,male,physical (harm),https://nextshark.com/asians-allegedly-attacked-by-mob-on-philadelphia-subway-in-disturbing-video/
2/27/2020,Pennsylvania,Philadelphi,asian,female,physical (harm),https://nextshark.com/asians-allegedly-attacked-by-mob-on-philadelphia-subway-in-disturbing-video/
2/22/2020,California,San Francisco,asian,male,physical (harm),https://www.sfchronicle.com/crime/article/SF-Bayview-attack-Second-suspect-surrenders-to-15098296.php
2/13/2020,California,Los Angeles,asian,,physical (no harm),https://losangeles.cbslocal.com/2020/02/13/teen-student-in-la-assaulted-as-coronavirus-fears-stoke-racial-backlash/
2/12/2020,Indiana,Plymouth,hmong,male,verbal abuse,https://www.abc57.com/news/asian-man-turned-away-from-michiana-hotels-due-to-coronavirus-concerns
2/12/2020,Indiana,Plymouth,hmong,female,verbal abuse,https://www.abc57.com/news/asian-man-turned-away-from-michiana-hotels-due-to-coronavirus-concerns
2/5/2020,California,Los Angeles,vietnamese,male,verbal abuse,https://www.adl.org/blog/reports-of-anti-asian-assaults-harassment-and-hate-crimes-rise-as-coronavirus-spreads
2/2/2020,New York,New York City,asian,female,verbal abuse,https://www.cnn.com/2020/02/20/us/coronavirus-racist-attacks-against-asian-americans/index.html
2/1/2020,California,Los Angeles,asian,female,verbal abuse,https://twitter.com/TannyRJ/status/1224929040022159361?s=20
2/1/2020,California,Pasadena,chinese,male,verbal abuse,https://www.adl.org/blog/reports-of-anti-asian-assaults-harassment-and-hate-crimes-rise-as-coronavirus-spreads
1/26/2020,Washington,Bellevue,asian,male,verbal abuse,https://twitter.com/devincabanilla/status/1221562958578245633?s=20
1/16/2020,New Jersey,Jersey City,asian,male,physical (no harm),https://patch.com/new-jersey/montclair/group-hurls-racist-slurs-newark-man-montclair-police
